,,Recommendation OFFICE SPACES,
,,General: during operating hours!,
Pollutant,Total_AQI,,Action_Points
Unit,Index ,Recommendation based on weekly average,
Good,0-25,The overall air quality within the facility is excellent. The pollutant concentration within the monitored space is low. The space is offering a healthy environment for its occupants.,
Good,26-50,The overall air quality within the facility is good. The pollutant concentration within the monitored space is low. The space is offering a healthy environment for its occupants.,
Moderate,51-75,The overall air quality within the facility is moderate. The pollutant concentration within the monitored space is too high. The space is not offering a high productivity environment for offices and training facilities. A root cause analysis and mitigation strategy is recommended. ,
Moderate,76-100,The overall air quality within the facility is moderate. The pollutant concentration within the monitored space is too high. The space is not offering a high productivity environment for offices and training facilities. The indoor air quality may cause health issues for sensitive groups. A root cause analysis and mitigation strategy is recommended.  ,
Unhealthy for sensitive groups,101-150,The overall air quality within the facility is unhealthy for sensitive groups. The pollutant concentration within the monitored space is too high. The space is not offering a high productivity environment for offices and training facilities. The indoor air is likely to cause health issues for sensitive people. Long term exposure to the indoor air may also affect healthy people. Complications range from headaches and irritation to increased risk of cancer and disease. A root cause analysis and mitigation strategy is highly recommended. ,
Unhealthy ,151-200,The overall air quality within the facility is unhealthy. The pollutant concentration within the monitored space is too high. The space is not offering a high productivity environment for offices and training facilities. The indoor air is likely to cause health issues for both sensitive groups and healthy people. Complications range from headaches and irritation to increased risk of cancer and disease. A root cause analysis and mitigation strategy is highly recommended. ,
Very unhealthy,201-300,The overall air quality within the facility is very unhealthy. The pollutant concentration within the monitored space is too high. The space is not offering a high productivity environment for offices and training facilities. The indoor air is likely to cause health issues for both sensitive groups and healthy people. Complications range from headaches and irritation to increased risk of cancer and disease. A root cause analysis and mitigation strategy is highly recommended. ,
Hazardous,301-1000,The overall air quality within the facility is HAZARDOUS. The pollutant concentration within the monitored space is too high. The space is not offering a high productivity environment for offices and training facilities. The indoor air is likely to cause health issues for both sensitive groups and healthy people. Complications range from headaches and irritation to increased risk of cancer and disease. A root cause analysis and mitigation strategy is highly recommended. ,
,,,
,,,
Pollutant,cotwo,Recommendation based on weekly average,
Unit,ppm,,
Good,400-550,The CO2 level indicate activity and building usage. CO2 is used as the main indicator to determine if a building is over- or under-ventilated. The average CO2 levels are consistently below 550ppm. This indicates that the building is over-ventilated at some time of the day and energy could be saved. An audit on your ventilation setup is recommended. ,
Good,550-700,The CO2 level indicate activity and building usage. CO2 is used as the main indicator to determine if a building is over- or under-ventilated. The average CO2 levels are consistently within the optimum range of 500 to 700 ppm. ,Detailed audit of ventilation setup to identify over-ventilation in specific areas or at specific times.
Moderate,700-1000,The CO2 level indicate activity and building usage. CO2 is used as the main indicator to determine if a building is over- or under-ventilated. The average CO2 levels are above the optimum range of 500 to 650 ppm. The ventilation rates are not sufficient and an optimized ventilation schedule is recommended for occupant well-being. Complications for occupants include dizziness and fatigue.,Detailed audit of ventilation setup to identify over-ventilation in specific areas or at specific times.
Moderate,1001-1500,The CO2 level indicate activity and building usage. CO2 is used as the main indicator to determine if a building is over- or under-ventilated. The average CO2 levels are well above the optimum range of 500 to 650 ppm. The ventilation rates are not sufficient and an optimized ventilation schedule is recommended for occupant well-being. Complications for occupants include dizziness and fatigue.,Detailed audit of ventilation setup to identify over-ventilation in specific areas or at specific times.
